# full_id,pdb_id,assembly_id,multimericity,auth_chain_id,asym_chain_id,seq_database,seq_database_accession
1XW6-1,1XW6,1,2,A_B_C_D,A_B_C_D,UniProt,P09488
1XX1-1,1XX1,1,2,A_B_C_D,A_B_C_D,UniProt,Q8I914
1Y07-2,1Y07,2,2,A_B_C_D,A_B_C_D,UniProt,O83795
1Y5H-1,1Y5H,1,2,A_B,A_B,UniProt,P9WJA3
1Y71-1,1Y71,1,2,A_B,A_B,UniProt,Q816F1
1YAL-1,1YAL,1,2,A,A,UniProt,P14080
1YBY-1,1YBY,1,2,A_B,A_B,UniProt,A3DDQ3
1YBZ-2,1YBZ,2,2,A,A,UniProt,Q8U098
1YEA-1,1YEA,1,2,A,A,UniProt,P00045
1YIY-1,1YIY,1,2,A_B,A_B,UniProt,Q17CS8
1YVE-1,1YVE,1,2,I_J_K_L,A_B_C_D,UniProt,Q01292
1YVO-1,1YVO,1,2,A_B,A_B,UniProt,Q9HUU7
1Z08-5,1Z08,5,2,A_B_C_D,A_B_C_D,UniProt,Q9UL25
1Z40-1,1Z40,1,2,A_E,A_B,UniProt,Q7KQK5
1Z44-2,1Z44,2,2,A_B,A_B,UniProt,P54550
1Z9N-1,1Z9N,1,2,A_B_C_D,A_B_C_D,UniProt,Q59452
1ZA0-2,1ZA0,2,2,A,A,UniProt,P9WNZ5
1ZHQ-4,1ZHQ,4,2,A_B_C_D_E_F_G_H,A_B_C_D_E_F_G_H,UniProt,Q9RHG4
1ZL7-2,1ZL7,2,2,A,A,UniProt,Q8AXY1
1ZLJ-2,1ZLJ,2,2,A_B_C_D_E_F_G_H,A_B_C_D_E_F_G_H,UniProt,P9WMF9
1ZRS-1,1ZRS,1,2,A_B,A_B,UniProt,Q9HTZ1
1ZUO-5,1ZUO,5,2,A_B,A_B,UniProt,Q8WVN8
1ZW0-2,1ZW0,2,2,A_B_C_D_E_F_G_H,A_B_C_D_E_F_G_H,UniProt,O68692
1ZWX-2,1ZWX,2,2,A,A,UniProt,Q9RLV9
1ZWY-2,1ZWY,2,2,A_B_C_D,A_B_C_D,UniProt,Q9KU27
1ZX9-1,1ZX9,1,2,A,A,UniProt,P00392
1ZZG-1,1ZZG,1,2,A_B,A_B,UniProt,Q5SLL6
22GS-1,22GS,1,2,A_B,A_B,UniProt,P09211
2A26-1,2A26,1,2,A_B_C,A_B_C,UniProt,Q9HB71
2A9D-1,2A9D,1,2,A_B,A_B,UniProt,P07850
2AAO-3,2AAO,3,2,A_B,A_B,UniProt,Q06850
2ACO-1,2ACO,1,2,A_B,A_B,UniProt,P0A901
2ACV-1,2ACV,1,2,A_B,A_B,UniProt,Q5IFH7
2AEF-1,2AEF,1,2,A_B,A_B,UniProt,O27564
2AEX-1,2AEX,1,2,A,A,UniProt,P36551
2AN1-1,2AN1,1,2,A_B_C_D,A_B_C_D,UniProt,P65774
2ANX-1,2ANX,1,2,A_B,A_B,UniProt,P09963
2APS-1,2APS,1,2,A_B,A_B,UniProt,P24702
2AQQ-2,2AQQ,2,2,A_B_C,A_B_C,UniProt,P57005
2ASH-2,2ASH,2,2,A_B_C_D,A_B_C_D,UniProt,Q9X1P7
2AUY-1,2AUY,1,2,A_B,A_B,UniProt,Q8GSD2
2AVD-1,2AVD,1,2,A_B,A_B,UniProt,Q86VU5
2AVT-1,2AVT,1,2,A_B,A_B,UniProt,Q9EVR1
2AVW-2,2AVW,2,2,A_B_C_D_E_F,A_B_C_D_E_F,UniProt,Q7DAM2
2B3S-3,2B3S,3,2,A_B,A_B,UniProt,P0AEG4
2B61-1,2B61,1,2,A,A,UniProt,P45131
2BAY-3,2BAY,3,2,A_B_C_D_E_F,A_B_C_D_E_F,UniProt,P32523
2BBH-2,2BBH,2,2,A,A,UniProt,Q9WZ31
2BC0-1,2BC0,1,2,A_B,A_B,UniProt,Q5XC60
2BDW-1,2BDW,1,2,A_B,A_B,UniProt,O62305
2BEK-1,2BEK,1,2,A_B_C_D,A_B_C_D,UniProt,Q72H90
2BLS-1,2BLS,1,2,A_B,A_B,UniProt,P00811
2BNL-1,2BNL,1,2,A_B_C_D_E_F,A_B_C_D_E_F,UniProt,P42409
2BOY-3,2BOY,3,2,A_B_C_D_E_F_G_H,A_B_C_D_E_F_G_H,UniProt,Q8G9L3
2BQP-1,2BQP,1,2,A_B,A_B,UniProt,P02867
2BYW-1,2BYW,1,2,A_B_C_D,A_B_C_D,UniProt,P0A953
2BZ1-1,2BZ1,1,2,A,A,UniProt,P0A7I7
2C3N-2,2C3N,2,2,A_B_C_D,A_B_C_D,UniProt,P30711
2C4J-2,2C4J,2,2,A_B_C_D,A_B_C_D,UniProt,P28161
2C59-1,2C59,1,2,A_B,A_B,UniProt,Q93VR3
2C67-1,2C67,1,2,A_B,A_B,UniProt,P27338
2CCY-1,2CCY,1,2,A_B,A_B,UniProt,P00152
2CDU-1,2CDU,1,2,A_B,A_B,UniProt,Q9F1X5
2CIN-1,2CIN,1,2,A,A,UniProt,P9WQ77
2CKI-2,2CKI,2,2,A_B,A_B,UniProt,Q8TL28
2CVI-1,2CVI,1,2,A_B,A_B,UniProt,O73983
2CYY-1,2CYY,1,2,A,A,UniProt,O59188
2CZ2-1,2CZ2,1,2,A,A,UniProt,Q9WVL0
2CZF-1,2CZF,1,2,A_B,A_B,UniProt,O58462
2D1L-1,2D1L,1,2,A_B,A_B,UniProt,Q8R1S4
2D2G-1,2D2G,1,2,A,A,UniProt,Q93LD7
2D2R-1,2D2R,1,2,A_B,A_B,UniProt,P55984
2D4P-2,2D4P,2,2,A,A,UniProt,Q5SIW0
2D69-3,2D69,3,2,A_B_D_E,A_B_C_D,UniProt,O58677
2DDD-1,2DDD,1,2,A_B,A_B,UniProt,Q53UG8
2DJX-1,2DJX,1,2,A_B,A_B,UniProt,Q4D3W2
2DKJ-1,2DKJ,1,2,A_B,A_B,UniProt,Q5SI56
2DOK-3,2DOK,3,2,A_B,A_B,UniProt,Q86US8
2DPQ-2,2DPQ,2,2,A,A,UniProt,P07231
2DQW-1,2DQW,1,2,A_B,A_B,UniProt,Q5SLV2
2DSC-1,2DSC,1,2,A_B,A_B,UniProt,Q9UKK9
